Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
 ;ALLE FORBRUKARGRUPPER;937.7;819.2;955.9;982.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;775.0;640.4;780.2;803.8
 ;TENESTEYTING MV.;63.5;68.2;66.4;67.1
 ;HUSHALD OG JORDBRUK;99.2;110.6;109.3;111.2
 ;Primærnæringer;0.7;0.8;0.9;1.0
 ;Hushald;94.6;105.2;103.5;105.3
 ;Hytter og fritidshus;4.0;4.6;4.8;5.0
Balsfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;116.3;135.9;134.8;137.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;33.6;49.2;48.9;49.3
 ;TENESTEYTING MV.;27.0;24.3;23.4;23.5
 ;HUSHALD OG JORDBRUK;55.8;62.5;62.5;64.5
 ;Primærnæringer;3.0;2.9;3.0;2.9
 ;Hushald;45.6;51.3;51.1;52.6
 ;Hytter og fritidshus;7.2;8.3;8.5;9.0
Karlsøy;;;;;
 ;ALLE FORBRUKARGRUPPER;43.2;47.7;46.3;49.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.7;7.0;6.8;7.7
 ;TENESTEYTING MV.;9.9;11.0;10.4;10.9
 ;HUSHALD OG JORDBRUK;27.6;29.7;29.1;30.7
 ;Primærnæringer;0.9;0.7;0.8;0.9
 ;Hushald;20.7;22.4;21.7;22.6
 ;Hytter og fritidshus;6.0;6.5;6.6;7.3
Lyngen;;;;;
 ;ALLE FORBRUKARGRUPPER;45.7;50.0;49.0;50.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.3;4.9;4.5;5.2
 ;TENESTEYTING MV.;11.5;12.6;12.3;12.5
 ;HUSHALD OG JORDBRUK;29.9;32.5;32.2;32.9
 ;Primærnæringer;1.4;1.4;1.4;1.4
 ;Hushald;25.5;27.6;27.4;28.0
 ;Hytter og fritidshus;3.0;3.5;3.4;3.6
Storfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;31.3;35.2;33.5;33.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.8;0.9;0.9;0.8
 ;TENESTEYTING MV.;12.1;14.4;12.7;12.1
 ;HUSHALD OG JORDBRUK;18.5;19.8;19.9;20.1
 ;Primærnæringer;2.3;2.1;2.2;1.9
 ;Hushald;14.2;15.4;15.5;15.8
 ;Hytter og fritidshus;2.0;2.3;2.3;2.4
Kåfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;30.4;32.3;64.0;67.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.8;0.9;33.7;36.2
 ;TENESTEYTING MV.;10.6;10.7;9.9;10.4
 ;HUSHALD OG JORDBRUK;19.0;20.7;20.3;20.8
 ;Primærnæringer;2.4;2.8;2.8;2.9
 ;Hushald;15.2;16.5;16.0;16.4
 ;Hytter og fritidshus;1.3;1.4;1.5;1.5
Skjervøy;;;;;
 ;ALLE FORBRUKARGRUPPER;52.0;56.2;56.1;58.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.5;2.1;2.3;2.3
 ;TENESTEYTING MV.;15.2;15.5;15.8;15.8
 ;HUSHALD OG JORDBRUK;35.2;38.6;38.0;40.4
 ;Primærnæringer;11.1;13.2;13.8;15.0
 ;Hushald;22.5;23.6;22.5;23.4
 ;Hytter og fritidshus;1.6;1.8;1.7;2.0
Nordreisa;;;;;
 ;ALLE FORBRUKARGRUPPER;69.4;71.5;71.5;73.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.4;2.0;2.2;1.6
 ;TENESTEYTING MV.;24.3;24.2;25.0;26.0
 ;HUSHALD OG JORDBRUK;42.7;45.4;44.3;45.6
 ;Primærnæringer;1.9;1.9;1.8;2.0
 ;Hushald;38.5;41.0;39.8;40.7
 ;Hytter og fritidshus;2.2;2.6;2.7;2.9
Kvænangen;;;;;
 ;ALLE FORBRUKARGRUPPER;22.4;24.6;24.1;24.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.2;0.3;0.6;0.6
 ;TENESTEYTING MV.;5.7;6.3;6.3;6.3
 ;HUSHALD OG JORDBRUK;16.5;18.0;17.2;17.8
 ;Primærnæringer;2.7;3.0;3.1;3.0
 ;Hushald;12.3;13.4;12.7;13.2
 ;Hytter og fritidshus;1.4;1.6;1.5;1.6
Vardø;;;;;
 ;ALLE FORBRUKARGRUPPER;51.6;54.2;50.4;54.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.6;2.2;1.5;1.5
 ;TENESTEYTING MV.;23.1;24.5;23.1;26.5
 ;HUSHALD OG JORDBRUK;25.9;27.5;25.7;26.8
 ;Primærnæringer;0.5;0.3;0.3;0.3
 ;Hushald;25.1;26.8;25.0;26.0
 ;Hytter og fritidshus;0.4;0.4;0.5;0.5
Vadsø;;;;;
 ;ALLE FORBRUKARGRUPPER;108.1;118.1;113.4;118.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.7;2.7;2.2;2.1
 ;TENESTEYTING MV.;41.4;39.0;45.7;49.2
 ;HUSHALD OG JORDBRUK;64.1;76.3;65.5;66.7
 ;Primærnæringer;1.0;0.8;0.9;1.0
 ;Hushald;62.6;74.9;63.9;64.9
 ;Hytter og fritidshus;0.5;0.7;0.7;0.8
Hammerfest;;;;;
 ;ALLE FORBRUKARGRUPPER;1533.7;1703.0;1492.0;1736.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1365.5;1517.9;1312.8;1547.3
 ;TENESTEYTING MV.;70.3;78.8;78.5;84.9
 ;HUSHALD OG JORDBRUK;97.9;106.3;100.7;104.3
 ;Primærnæringer;7.3;10.5;8.3;8.6
 ;Hushald;89.1;94.3;90.9;93.9
 ;Hytter og fritidshus;1.5;1.6;1.6;1.8
Kautokeino;;;;;
 ;ALLE FORBRUKARGRUPPER;42.2;45.7;44.5;45.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.8;0.8;1.2;2.1
 ;TENESTEYTING MV.;16.6;18.8;17.6;16.9
 ;HUSHALD OG JORDBRUK;24.8;26.1;25.7;26.6
 ;Primærnæringer;0.4;0.4;0.3;0.3
 ;Hushald;23.3;24.4;23.8;24.6
 ;Hytter og fritidshus;1.1;1.3;1.5;1.6
Alta;;;;;
 ;ALLE FORBRUKARGRUPPER;322.7;360.4;342.5;358.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;38.5;40.0;38.1;38.5
 ;TENESTEYTING MV.;108.6;123.8;118.6;123.9
 ;HUSHALD OG JORDBRUK;175.5;196.6;185.8;196.1
 ;Primærnæringer;7.4;8.5;9.2;9.4
 ;Hushald;163.2;182.8;171.5;180.8
 ;Hytter og fritidshus;4.9;5.3;5.1;5.8
Loppa;;;;;
 ;ALLE FORBRUKARGRUPPER;20.3;22.7;20.8;19.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.2;1.2;1.2;1.1
 ;TENESTEYTING MV.;4.8;5.3;5.0;5.1
 ;HUSHALD OG JORDBRUK;14.3;16.2;14.6;13.7
 ;Primærnæringer;2.6;3.8;3.2;1.8
 ;Hushald;10.6;11.3;10.3;10.7
 ;Hytter og fritidshus;1.1;1.1;1.1;1.2
Hasvik;;;;;
 ;ALLE FORBRUKARGRUPPER;19.9;21.8;20.3;21.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.9;2.3;2.0;1.8
 ;TENESTEYTING MV.;6.4;8.8;6.6;7.4
 ;HUSHALD OG JORDBRUK;11.6;10.7;11.6;12.3
 ;Primærnæringer;1.6;0.2;1.5;1.6
 ;Hushald;9.3;9.7;9.4;9.9
 ;Hytter og fritidshus;0.7;0.7;0.8;0.8
Kvalsund;;;;;
 ;ALLE FORBRUKARGRUPPER;30.0;27.7;30.0;31.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.9;0.0;1.3;1.1
 ;TENESTEYTING MV.;9.7;7.9;8.9;9.7
 ;HUSHALD OG JORDBRUK;18.4;19.8;19.8;20.7
 ;Primærnæringer;0.2;0.0;0.2;0.2
 ;Hushald;10.5;11.6;11.5;11.8
 ;Hytter og fritidshus;7.7;8.2;8.1;8.7
Måsøy;;;;;
 ;ALLE FORBRUKARGRUPPER;30.7;30.5;28.0;31.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.3;4.2;3.9;4.3
 ;TENESTEYTING MV.;13.5;11.2;9.7;11.8
 ;HUSHALD OG JORDBRUK;13.9;15.1;14.4;15.0
 ;Primærnæringer;0.6;0.5;0.6;0.5
 ;Hushald;12.5;13.5;12.8;13.3
 ;Hytter og fritidshus;0.9;1.1;1.1;1.2
Nordkapp;;;;;
 ;ALLE FORBRUKARGRUPPER;68.0;77.9;74.2;72.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.3;6.7;6.8;7.2
 ;TENESTEYTING MV.;29.8;33.7;29.4;29.5
 ;HUSHALD OG JORDBRUK;32.9;37.6;37.9;35.6
 ;Primærnæringer;0.5;0.6;0.7;0.8
 ;Hushald;31.4;35.9;36.1;33.6
 ;Hytter og fritidshus;1.0;1.1;1.1;1.2
Porsanger;;;;;
 ;ALLE FORBRUKARGRUPPER;88.3;96.7;90.8;94.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.1;2.9;2.9;3.0
 ;TENESTEYTING MV.;43.3;47.5;43.8;45.5
 ;HUSHALD OG JORDBRUK;42.0;46.3;44.2;46.0
 ;Primærnæringer;0.5;1.1;0.5;0.5
 ;Hushald;37.6;40.7;39.1;40.6
 ;Hytter og fritidshus;3.9;4.5;4.6;4.9
Karasjok;;;;;
 ;ALLE FORBRUKARGRUPPER;42.6;46.6;45.4;47.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.6;2.3;2.5;3.0
 ;TENESTEYTING MV.;16.8;19.5;17.9;18.6
 ;HUSHALD OG JORDBRUK;23.2;24.8;25.0;25.8
 ;Primærnæringer;0.6;0.1;0.6;0.7
 ;Hushald;22.4;24.6;24.1;24.9
 ;Hytter og fritidshus;0.2;0.2;0.2;0.2
Lebesby;;;;;
 ;ALLE FORBRUKARGRUPPER;33.4;37.3;36.5;41.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.2;3.2;0.7;0.9
 ;TENESTEYTING MV.;8.2;8.7;9.9;10.1
 ;HUSHALD OG JORDBRUK;22.0;25.3;25.9;30.9
 ;Primærnæringer;8.1;10.4;12.5;16.5
 ;Hushald;13.3;14.1;12.6;13.3
 ;Hytter og fritidshus;0.6;0.8;0.8;1.1
Gamvik;;;;;
 ;ALLE FORBRUKARGRUPPER;22.2;23.8;23.4;23.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.4;4.0;2.9;3.6
 ;TENESTEYTING MV.;7.0;7.2;8.4;7.8
 ;HUSHALD OG JORDBRUK;11.8;12.6;12.0;12.3
 ;Primærnæringer;0.5;0.6;0.4;0.1
 ;Hushald;10.9;11.6;11.2;11.9
 ;Hytter og fritidshus;0.4;0.4;0.4;0.4
Berlevåg;;;;;
 ;ALLE FORBRUKARGRUPPER;21.4;23.4;22.4;23.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.7;2.9;2.5;3.1
 ;TENESTEYTING MV.;6.4;7.3;7.4;7.7
 ;HUSHALD OG JORDBRUK;12.3;13.3;12.5;12.9
 ;Primærnæringer;1.0;1.0;0.9;1.0
 ;Hushald;11.2;12.2;11.5;11.8
 ;Hytter og fritidshus;0.1;0.1;0.1;0.1
Tana;;;;;
 ;ALLE FORBRUKARGRUPPER;55.7;60.8;60.5;62.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.4;8.0;8.0;7.4
 ;TENESTEYTING MV.;16.6;18.6;18.1;19.6
 ;HUSHALD OG JORDBRUK;31.7;34.3;34.5;35.6
 ;Primærnæringer;1.4;1.5;1.8;1.9
 ;Hushald;28.2;30.4;30.3;31.3
 ;Hytter og fritidshus;2.1;2.4;2.3;2.4
Nesseby;;;;;
 ;ALLE FORBRUKARGRUPPER;14.9;15.1;16.5;16.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;0.3;0.9;0.7
 ;TENESTEYTING MV.;4.3;4.6;5.0;5.2
 ;HUSHALD OG JORDBRUK;9.5;10.2;10.6;10.4
 ;Primærnæringer;0.0;0.0;0.1;0.0
 ;Hushald;9.0;9.5;9.7;9.8
 ;Hytter og fritidshus;0.5;0.6;0.8;0.6
Båtsfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;48.3;51.4;53.5;57.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.2;10.4;9.4;10.0
 ;TENESTEYTING MV.;15.0;16.8;20.3;22.1
 ;HUSHALD OG JORDBRUK;22.1;24.2;23.8;25.0
 ;Primærnæringer;1.4;1.6;1.8;2.4
 ;Hushald;20.0;21.7;21.1;21.7
 ;Hytter og fritidshus;0.7;0.8;0.9;0.9
Sør-Varanger;;;;;
 ;ALLE FORBRUKARGRUPPER;314.2;352.4;351.3;365.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;134.1;151.5;158.1;169.0
 ;TENESTEYTING MV.;84.7;86.4;92.6;94.2
 ;HUSHALD OG JORDBRUK;95.4;114.5;100.6;102.8
 ;Primærnæringer;1.8;1.9;1.8;1.8
 ;Hushald;89.5;107.9;94.0;95.8
 ;Hytter og fritidshus;4.1;4.7;4.8;5.2
;;;;;
Endret navn fra Slemdal i 1919.;;;;;
;;;;;
Endret navn fra Liknes i 1917.;;;;;
;;;;;
1. januar 2006 ble kommunene 1154 Vindafjord og 1159 Ølen slått ;;;;;
sammen til en ny kommune 1160 Vindafjord.;;;;;
;;;;;
1. januar 2008 ble kommunene 1503 Kristiansund og 1556 Frei slått ;;;;;
sammen til ny kommune 1505 Kristiansund.;;;;;
;;;;;
Ved grenseregulering 1. januar 2002 ble ca. 380 personer overført fra ;;;;;
1514 Sande kommune til 1511 Vanylven kommune.;;;;;
;;;;;
Ved grenseregulering 1. januar 2002 ble ca. 380 personer overført fra ;;;;;
1514 Sande kommune til 1511 Vanylven kommune.;;;;;
;;;;;
1. januar 2006 ble kommunene 1569 Aure og 1572 Tustna slått sammen ;;;;;
til ny kommune 1576 Aure.;;;;;
;;;;;
1. januar 2012 ble kommunene 1723 Mosvik og 1729 Indrøy slått sammen ;;;;;
til en ny kommune 1756 Inderøy.;;;;;
;;;;;
1. januar 2012 ble kommunene 1723 Mosvik og 1729 Indrøy slått sammen ;;;;;
til en ny kommune 1756 Inderøy.;;;;;
;;;;;
1. januar 2012 ble kommunene 1723 Mosvik og 1729 Indrøy slått sammen ;;;;;
til en ny kommune 1756 Inderøy.;;;;;
;;;;;
1. januar 2005 ble kommunene 1804 Bodø og 1842 Skjerstad slått sammen ;;;;;
til en kommune 1804 Bodø.;;;;;
;;;;;
1. januar 2013 ble kommunene 1901 Harstad og 1915 Bjarkøy slått ;;;;;
sammen til en ny kommune 1903 Harstad.;;;;;
;;;;;
1. januar 2013 ble kommunene 1901 Harstad og 1915 Bjarkøy slått ;;;;;
sammen til en ny kommune 1903 Harstad.;;;;;
;;;;;
1. januar 2013 ble kommunene 1901 Harstad og 1915 Bjarkøy slått ;;;;;
sammen til en ny kommune 1903 Harstad.;;;;;
